Dataset,Paper Title,Year,Publisher,Description,Indoor/Outdoor,Tasks,No. Papers,No. Benchmarks,Last Check
ALFRED,ALFRED: A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,2020,CVPR,benchmark for learning a mapping from natural language instructions and egocentric vision to sequences of actions for household tasks,indoor,Visual language understanding,158,0,2025-02-27
AnoVox,AnoVox: A Benchmark for Multimodal Anomaly Detection in Autonomous Driving,2024,arXiv,large-scale benchmark for ANOmaly detection in autonomous driving,outdoor,Anomaly Detection; Autonomous Driving,3,0,2025-02-27
ApolloScape,The ApolloScape Open Dataset for Autonomous Driving and its Application,2018,TPAMI,large dataset consisting of over 140000 video frames from various locations in China under varying weather conditions,outdoor,Autonomous Driving; Object Detection; Semantic Segmentation; Trajectory Prediction; Image Inpainting; Autonomous Driving; Motion Segmentation,71,5,2025-02-27
ARCH2S,ARCH2S: Dataset; Benchmark and Challenges for Learning Exterior Architectural Structures from Point Clouds,2024,arXiv,photo-realistic 3D architectural models dataset and benchmark for semantic segmentation,other,3D Semantic Segmentation,3,1,2025-02-27
Argoverse ,Argoverse: 3D Tracking and Forecasting with Rich Maps,2019,CVPR,tracking benchmark with over 30K scenarios collected in Pittsburgh and Miami,outdoor,3D Object Detection; Trajectory Prediction; Motion Forecasting; Monocular Cross-View Road Scene Parsing (Road / Vehicle); 3D Object Tracking,371,6,2025-02-27
Argoverse 2 Sensor,Argoverse 2: Next Generation Datasets for Self-Driving Perception and Forecasting,2021,NeurIPS,collection of open-source autonomous driving data and high-definition (HD) maps from six U.S. cities: Austin; Detroit; Miami; Pittsburgh; Palo Alto; and Washington; D.C,outdoor,3D Object Detection; (Self-Supervised) Scene Flow Estimation; Dynamic Point Removal,11,0,2025-02-27
BAAI-VANJEE,BAAI-VANJEE Roadside Dataset: Towards the Connected Automated Vehicle Highway technologies in Challenging Environments of China,2021,arXiv,roadside dataset for benchmarking and training various computer vision tasks such as 2D/3D object detection and multi-sensor fusion,outdoor,2D/3D Object Detection; Radar Object Detection,6,0,2025-02-27
BLVD,BLVD: Building A Large-scale 5D Semantics Benchmark for Autonomous Driving,2019,ICRA,large scale 5D semantics dataset collected by the Visual Cognitive Computing and Intelligent Vehicles Lab,outdoor,Trajectory Prediction; Autonomous Driving; Decision Making,9,0,2025-02-27
Breaking Bad,Breaking Bad: A Dataset for Geometric Fracture and Reassembly,2022,NeurIPS,large-scale dataset of fractured objects,other,3D Assembly,11,0,2025-02-27
Building3D,Building3D: An Urban-Scale Dataset and Benchmarks for Learning Roof Structures from Point Clouds,2023,ICCV,urban-scale dataset consisting of more than 160 thousands buildings along with corresponding point clouds; mesh and wireframe models,outdoor,urban modeling; aerial path planning; mesh simplification; semantic/part seg+B30+E41,6,0,2025-02-27
BuildingNet,BuildingNet: Learning to Label 3D Buildings,2021,ICCV,large-scale dataset of 3D building models whose exteriors are consistently labeled,outdoor,3D Semantic Segmentation; 3D Builiding Mesh Labeling,11,1,2025-02-27
BundleFusion,BundleFusion: Real-time Globally Consistent 3D Reconstruction using Online Surface Re-integration,2016,TOG,They provide a dataset containing RGB-D data of 7 large scenes (60m average trajectory length; 5833 average number of frames). The RGB-D data was captured using a Structure.io depth sensor coupled with an iPad color camera. ,indoor,Mixed Reality; Robotic application; Relocalization; 3D Reconstruction,n/A,n/A,2025-02-27
CADC ,Canadian Adverse Driving Conditions Dataset,2020,IJRR,autonomous vehicle dataset that focuses on adverse driving conditions,outdoor,(3D) Object Detection,23,0,2025-02-27
CarFusion,CarFusion: Combining Point Tracking and Part Detection for Dynamic 3D Reconstruction of Vehicles,2018,CVPR,reconstruction of multiple dynamic rigid objects (eg. vehicles) observed from wide-baseline uncalibrated and unsynchronized cameras,outdoor,Vehicle Pose Estimation; 3D Pose Estimation; Pose Estimation; 3D Car Instance Understanding; Multi-View Learning,8,2,2025-02-27
Chairs (Aubry et al.),Seeing 3D Chairs: Exemplar Part-based 2D-3D Alignment using a Large Dataset of CAD Models,2014,CVPR,rendered images of around 1000 different three-dimensional chair models,indoor,Sketch-Based Image Retrieval,109,1,2025-02-27
Chairs (Jiang et al.),Full-Body Articulated Human-Object Interaction,2023,ICCV,large-scale motion-captured of Full-Body Articulated Human-Object Interact (f-AHOI) dataset,other,Pose Estimation; Action Recognition; Motion Synthesis; Human-Object Interaction Detection,3,0,2025-02-27
ChangeSim,ChangeSim: Towards End-to-End Online Scene Change Detection in Industrial Indoor Environments,2021,IROS,dataset aimed at online scene change detection (SCD) and more,indoor,(Scene) Change Detection; 3D reconstructions; Semantic Segmentation,7,2,2025-02-27
Cityscapes 3D,Cityscapes 3D: Dataset and Benchmark for 9 DoF Vehicle Detection,2020,arXiv,extends the original Cityscapes dataset with 3D bounding box annotations for all types of vehicles,outdoor,Semantic Segmentation; 3D Object Detection; Monocular Depth Estimation,11,3,2025-02-27
Clear Weather (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,object detection dataset in challenging adverse weather conditions,outdoor,(2D / 3D) Object Detection ,32,2,2025-02-27
Completion3D,TopNet: Structural Point Cloud Decoder,2019,CVPR,The Completion3D benchmark is a dataset for evaluating state-of-the-art 3D Object Point Cloud Completion methods; Given a partial 3D object point cloud the goal is to infer a complete 3D point cloud for the object,other,Point Cloud Completion,33,1,2025-02-27
ContactDB,ContactDB: Analyzing and Predicting Grasp Contact via Thermal Imaging,2019,CVPR,dataset of contact maps for household objects that captures the rich hand-object contact that occurs during grasping; enabled by use of a thermal camera,other,Grasp Contact Prediction,21,1,2025-02-27
CrossLoc,CrossLoc: Scalable Aerial Localization Assisted by Multimodal Synthetic Data,2022,CVPR,CrossLoc benchmark datasets—a multimodal aerial sim-to-real data available for flights above nature and urban terrains,outdoor,Camera Localization; Visual Localization,1,0,2025-02-27
DAIR-V2X,DAIR-V2X: A Large-Scale Dataset for Vehicle-Infrastructure Cooperative 3D Object Detection,2022,CVPR,large-scale; multi-modality; multi-view dataset from real scenarios for VICAD (Vehicle-Infrastructure Cooperative Autonomous Driving),outdoor,3D Object Detection,38,2,2025-02-27
DALES,DALES: A Large-scale Aerial LiDAR Data Set for Semantic Segmentation,2020,CVPR,Large-scale Aerial LiDAR Data Set for Semantic Segmentation,outdoor,Panoptic Segmentation; 3D Semantic Segmentation,26,2,2025-02-27
DeformingThings4D,4DComplete: Non-Rigid Motion Estimation Beyond the Observable Surface,2021,ICCV,synthetic dataset containing animation sequences containing humanoids and animals,other,Scene Flow Estimation; Point Cloud Registration; 3D Feature Matching,38,1,2025-02-27
Dense Fog (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,object detection dataset in challenging adverse weather conditions,outdoor,(2D / 3D) Object Detection ,17,2,2025-02-27
Dex-Net 2.0,Dex-Net 2.0: Deep Learning to Plan Robust Grasps with Synthetic Point Clouds and Analytic Grasp Metrics,2017,arXiv,Dex-Net 2.0 is a dataset associating 6.7 million point clouds and analytic grasp quality metrics with parallel-jaw grasps planned using robust quasi-static GWS analysis on a dataset of 1500 3D object models,other,Robotic Grasping,30,0,2025-02-27
DIODE,DIODE: A Dense Indoor and Outdoor DEpth Dataset,2019,arXiv,dataset that contains thousands of diverse high resolution color images with accurate; dense; long-range depth measurements,mixed,Depth Estimation; (Indoor) Monocular Depth Estimation,73,2,2025-02-27
DOLPHINS,DOLPHINS: Dataset for Collaborative Perception enabled Harmonious and Interconnected Self-driving,2022,ACCV,DOLPHINS = Dataset for cOllaborative Perception enabled Harmonious and INterconnected Self-driving; new simulated large-scale various-scenario multi-view multi-modality autonomous driving dataset; which provides a ground-breaking benchmark platform for interconnected autonomous driving,outdoor,2D / 3D Object Detection; Object Tracking; Multiview Detection,7,0,2025-02-27
DOORS ,DOORS: Dataset fOr bOuldeRs Segmentation. Statistical properties and Blender setup,2022,arXiv,dataset designed for boulders recognition; centroid regression; segmentation; and navigation applications,other,Semantic Segmentation; 3D Object Recognition,3,0,2025-02-27
DrivAerNet,DrivAerNet: A Parametric Car Dataset for Data-Driven Aerodynamic Design and Graph-Based Drag Prediction,2024,arXiv,large-scale; high-fidelity CFD dataset of 3D industry-standard car shapes designed for data-driven aerodynamic design,other,Graph Regression; Physical Simulations; 3D Shape Modeling; 3D Geometric Prediction; Parameter Prediction; Physics-infomred machine learning; PDE Surrogate Modeling,3,1,2025-02-27
DublinCity,DublinCity: Annotated LiDAR Point Cloud and its Applications,2019,arXiv,benchmark dataset that includes a manually annotated point cloud for over 260 million laser scanning points into 100'000 (approx.) assets from Dublin LiDAR point cloud in 2015,outdoor,Scene Understanding; 3D Reconstruction; Visual Localization,15,0,2025-02-27
DurLAR,DurLAR: A High-fidelity 128-channel LiDAR Dataset with Panoramic Ambient and Reflectivity Imagery for Multi-modal Autonomous Driving Applications,2021,3DV,high-fidelity 128-channel 3D LiDAR dataset with panoramic ambient (near infrared) and reflectivity imagery for multi-modal autonomous driving applications,outdoor,Depth Estimation; Autonomous Driving; 3D Depth Estimation,5,0,2025-02-27
ECLAIR ,ECLAIR: A High-Fidelity Aerial LiDAR Dataset for Semantic Segmentation,2024,CVPR,outdoor large-scale aerial LiDAR dataset designed specifically for advancing research in point cloud semantic segmentation,outdoor,3D Semantic Segmentation,1,1,2025-02-27
EgoBody,EgoBody: Human Body Shape and Motion of Interacting People from Head-Mounted Devices,2022,ECCV,large-scale dataset for egocentric 3D human pose; shape and motions under interactions in complex 3D scenes,indoor,3D Human Pose and Shape Estimation,28,1,2025-02-27
EHE ,Skeleton-based human action evaluation using graph convolutional network for monitoring Alzheimer’s progression,2021,Pattern Recognit.,Human Action Evaluation (HAE) has rarely been applied to real-world disease monitoring; EHE consists of several actions from morning exercises that patients complete daily in the elderly home,indoor,Action Assessment,2,1,2025-02-27
EQA ,Embodied Question Answering,2018,CVPR,dataset of visual questions and answers grounded in House3D based on 3D indoor scenes from the SUNCG dataset,indoor,Embodied Question Answering,74,0,2025-02-27
EuRoC MAV,The EuRoC micro aerial vehicle datasets,2016,IJRR,Visual-inertial datasets collected on-board a Micro Aerial Vehicle (MAV),indoor,Visual Odometry ,13,1,2025-02-27
EviLOG ,A Simulation-based End-to-End Learning Framework for Evidential Occupancy Grid Mapping*,2021,IV,The dataset contains synthetic training-validation-test data for occupancy grid mapping from lidar point clouds,outdoor,Prediction of Occupancy Grid Maps,1,0,2025-02-27
FAUST,FAUST: Dataset and Evaluation for 3D Mesh Registration,2014,CVPR,novel mesh registration technique that combines 3D shape and appearance information to produce high-quality alignments,other,Gaussian Processes; Superpixel Image Classification,13,0,2025-02-27
FAUST-partial / FPv1,Addressing the generalization of 3D registration methods with a featureless baseline and an unbiased benchmark,2024,Mach. Vis. Appl.,3D registration benchmark dataset created to provide a more informative evaluation of 3D registration methods,other,Point Cloud Registration,5,9,2025-02-27
FEE Corridor,Self-Supervised Depth Correction of Lidar Measurements from Map Consistency Loss,2023,RA-L,The data set contains point cloud data captured in an indoor environment with precise localization and ground truth mapping information,indoor,3D Geometry Perception,1,0,2025-02-27
Foggy KITTI,MonoWAD: Weather-Adaptive Diffusion Model for Robust Monocular 3D Object Detection,2024,ECCV,"The Foggy KITTI dataset extends the KITTI dataset to include challenging weather conditions, aiming to support research in real-world applications such as autonomous driving.",outdoor,3D Object Detection; Autonomous Driving,1,0,2025-02-27
FOR-instance,FOR-instance: a UAV laser scanning benchmark dataset for semantic and instance segmentation of individual trees,2023,arXiv,accurately segmenting individual trees from laser scanning data,outdoor,3D Semantic Segmentation; 3D Instance Segmentation,7,0,2025-02-27
Ford Campus Vision and Lidar Data Set,Ford Campus vision and lidar data set,2011,IJRR,dataset collected by an autonomous ground vehicle testbed,outdoor,Computer Vision; Simultaneous Localization and Mapping,3,0,2025-02-27
Freiburg Campus 3D Scan,Multimodal Interaction-aware Motion Prediction for Autonomous Street Crossing,2020,IJRR,The Freiburg Campus 3D Scan dataset consists of 3D area maps from the Freiburg campus,outdoor,Robot mapping; navigation; and mobile manipulation,0,0,2025-02-27
Freiburg Spatial Relations,Metric Learning for Generalizing Spatial Relations to New Objects,2017,IROS,Their approach enables a robot to reason about the similarity between pairwise spatial relations; thereby enabling it to use its previous knowledge when presented with a new relation to imitate,indoor,Metric Learning,2,0,2025-02-27
Freiburg Street Crossing,Multimodal Interaction-aware Motion Prediction for Autonomous Street Crossing,2018,IJRR,dataset consists of data collected from three different street crossings in Freiburg; Germany; ; two of which were traffic light regulated intersections and one a zebra crossing without traffic lights; The data can be used to train agents to cross roads autonomously.,outdoor,Motion Prediction,1,0,2025-02-27
Fusion 360 Gallery,Fusion 360 Gallery: A Dataset and Environment for Programmatic CAD Construction from Human Design Sequences,2021,TOG,Dataset contains rich 2D and 3D geometry data derived from parametric CAD models,other,B-Rep face segmentation,19,2,2025-02-27
FutureHouse,PhyIR: Physics-Based Inverse Rendering for Panoramic Indoor Images,2022,CVPR,large-scale synthetic photorealistic panoramic dataset,indoor,Depth Estimation; Surface Normal Estimation; Instrinsic Image Decomposition; Neural Rendering,3,0,2025-02-27
G-VUE ,Perceive; Ground; Reason; and Act: A Benchmark for General-purpose Visual Representation,2022,arXiv,comprehensive benchmark covering the full spectrum of visual cognitive abilities with four functional domains -- Perceive; Ground; Reason; and Act,mixed,Semantic Segmentation; Question Answering; Depth Estimation; Common Sense Reasoning; 3D Reconstruction; Visual Reasoning; Phrase Grounding; Navigate,2,0,2025-02-27
Gibson Database / Gibson Environment ,Gibson Env: Real-World Perception for Embodied Agents,2018,CVPR,Gibson is an opensource perceptual and physics simulator to explore active and real-world perception,indoor,Self-Supervised Learning; Robot Navigation; Hierarchical Reinforcement Learning,22,0,2025-02-27
GSO ,Google Scanned Objects: A High-Quality Dataset of 3D Scanned Household Items,2022,ICRA,dataset of common household objects that have been 3D scanned for use in robotic simulation and synthetic perception research,other,Simulation; Single-View 3D Reconstruction,91,1,2025-02-27
H3D ,The H3D Dataset for Full-Surround 3D Multi-Object Detection and Tracking in Crowded Urban Scenes,2019,ICRA,large scale full-surround 3D multi-object detection and tracking dataset; gathered from HDD dataset; a large scale naturalistic driving dataset collected in San Francisco Bay Area,outdoor,(3D) Object Detection; Autonomous Driving,38,0,2025-02-27
HANDAL,HANDAL: A Dataset of Real-World Manipulable Object Categories with Pose Annotations; Affordances; and Reconstructions,2023,IROS,dataset for category-level object pose estimation and affordance prediction,other,Object Pose Estimation,5,0,2025-02-27
Heavy Snowfall (DENSE),Seeing Through Fog Without Seeing Fog: Deep Multimodal Sensor Fusion in Unseen Adverse Weather,2020,CVPR,object detection dataset in challenging adverse weather conditions,outdoor,(3D) Object Detection ,4,1,2025-02-27
HePIC,Fully Automated Scan-to-BIM via Point Cloud Instance Segmentation,2023,ICIP,Heritage Pointcloud Instance Collection dataset; acquired from two large buildings and annotated at a point-wise semantic level based on existent BIM models,other,(3D) Semantic Segmentation; (3D) Instance Segmentation,1,0,2025-02-27
HM3D,Habitat-Matterport 3D Dataset (HM3D): 1000 Large-scale 3D Environments for Embodied AI,2021,arXiv,large-scale dataset of 1;000 building-scale 3D reconstructions from a diverse set of real-world locations. Each scene in the dataset consists of a textured 3D mesh reconstruction of interiors such as multi-floor residences; stores; and other private indoor spaces,indoor,Embodied AI,86,0,2025-02-27
HM3D-Semantics,Habitat-Matterport 3D Semantics Dataset,2023,CVPR,dataset of semantically-annotated 3D indoor spaces,indoor,Embodied AI (Home Robots; AI Assistants); Semantic Navigation,1,0,2025-02-27
HOI-Synth,Are Synthetic Data Useful for Egocentric Hand-Object Interaction Detection,2024,ECCV,The HOI-Synth benchmark extends three egocentric datasets designed to study hand-object interaction detection (EPIC-KITCHENS VISOR; EgoHOS; ENIGMA-51); with automatically labeled synthetic data obtained through a novel HOI generation pipeline,indoor,Hand-Object Interaction Detection,2,0,2025-02-27
HoME,HoME: a Household Multimodal Environment,2017,arXiv,multimodal environment for artificial agents to learn from vision; audio; semantics; physics; and interaction with objects and other agents; all within a realistic context,indoor,reinforcement learning; language grounding; sound-based navigation; robotics; multi-agent learning,22,0,2025-02-27
HomebrewedDB,HomebrewedDB: RGB-D Dataset for 6D Pose Estimation of 3D Objects,2019,ICCV,dataset for 6D pose estimation mainly targeting training from 3D models (both textured and textureless); scalability; occlusions; and changes in light conditions and object appearance,other,6D Pose Estimation,26,0,2025-02-27
HOMER,Proactive Robot Assistance via Spatio-Temporal Object Modeling,2022,arXiv,They formulate proactive assistance as the problem of the robot anticipating temporal patterns of object movements associated with everyday user routines; and proactively assisting the user by placing objects to adapt the environment to their needs,indoor,Object Tracking,3,0,2025-02-27
House3D Environment,Building Generalizable Agents with a Realistic and Rich 3D Environment,2018,ICLR,virtual 3D environment which consists of thousands of indoor scenes equipped with a diverse set of scene types,indoor,Question Answering; Visual Navigation; Efficient Exploration,11,0,2025-02-27
Housekeep,Housekeep: Tidying Virtual Households using Commonsense Reasoning,2022,ECCV,benchmark to evaluate common sense reasoning in the home for embodied AI,indoor,Language Modelling; Common Sense Reasoning,9,0,2025-02-27
Houses3K,Next-Best View Policy for 3D Reconstruction,2020,ECCV,dataset of 3D house models from the 2020 ECCV Workshop paper Next-Best View Policy for 3D Reconstruction,other,3D Reconstruction,4,0,2025-02-27
HPS,Human POSEitioning System (HPS): 3D Human Pose Estimation and Self-localization in Large Scenes from Body-Mounted Sensors,2021,CVPR,collection of 3D humans interacting with large 3D scenes,mixed,Human Pose Estimation; Camera Localization,22,0,2025-02-27
Hypersim,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding,2021,ICCV,photorealistic synthetic dataset for holistic indoor scene understanding,indoor,2D / 3D Object Detection; (3D) Semantic Segmentation; Instance Segmentation; Depth Estimation; (3D) Panoptic Segmentation; 3D Reconstruction; Monocular Depth Estimation; Multi-Task Leraning; Single-View 3D Reconstruction; 3D Pose Estimation; 3D Shape Reconstruction; Inverse Rendering; Intrinsic Image Decomposition; 2D Shape Recognition,93,5,2025-02-27
IFCNet,IFCNet: A Benchmark Dataset for IFC Entity Classification,2021,EG-ICE,A Benchmark Dataset for IFC (Industry Foundation Classes) Entity Classification,other,IFC Entity Classification,2,1,2025-02-27
iGibson 2.0,iGibson 2.0: Object-Centric Simulation for Robot Learning of Everyday Household Tasks,2021,arXiv,open-source simulation environment that supports the simulation of a more diverse set of household tasks through three key innovations: 1) iGibson 2.0 supports object states; including temperature; wetness level; cleanliness level; and toggled and sliced states; 2) iGibson 2.0 implements a set of predicate logic functions that map the simulator states to logic states like Cooked or Soaked; 3) iGibson 2.0 includes a virtual reality (VR) interface to immerse humans in its scenes to collect demonstrations,indoor,Robot Learning,10,0,2025-02-27
IKEA Object State Dataset,IKEA Object State Dataset: A 6DoF object pose estimation dataset and benchmark for multi-state assembly objects,2021,arXiv,dataset that contains IKEA furniture 3D models; RGBD video of the assembly process; the 6DoF pose of furniture parts and their bounding box.,indoor,IKEA Furniture Assembly,2,0,2025-02-27
InLUT3D ,InLUT3D: Challenging real indoor dataset for point cloud analysis,2024,arXiv,point cloud set tailored for real object classification and both semantic and instance segmentation tasks,indoor,3D Semantic Segmentation; 3D Instance Segmentation; 3D Classification,0,0,2025-02-27
InteriorNet,InteriorNet: Mega-scale Multi-sensor Photo-realistic Indoor Scenes Dataset,2018,arXiv,synthetic RGB-D dataset for large scale interior scene understanding and mapping,indoor,Object Detection; Semantic Segmentation; Simultaneous Localization and Mapping,30,0,2025-02-27
Interiorverse,Learning-based Inverse Rendering of Complex Indoor Scenes with Differentiable Monte Carlo Raytracing,2022,SIGGRAPH Asia,Interiorverse is a high-quality synthetic indoor scene dataset with rich details; including complex furniture and decorations and it is rendered with GGX BRDF model; which has stronger material modeling capability than any BRDF models,indoor,Complex Object Insertion; Material Editing (with high fidelity),5,0,2025-02-27
IQUAD ,IQA: Visual Question Answering in Interactive Environments,2018,CVPR,dataset for Visual Question Answering in interactive environments; built upon AI2-THOR; a simulated photo-realistic environment of configurable indoor scenes with interactive object,indoor,Question Answering; Visual Question Answering (VQA); Visual Navigation,7,0,2025-02-27
ISPRS 3D (ISPRS Vaihingen),Contextual classification of lidar data and building object detection in urban areas,2014,ISPRS,3D semantic labeling contest; airborne laser scanning data from Vaihingen,outdoor,Semantic Segmentation,18,1,2025-02-27
JAAD,Agreeing to Cross: How Drivers and Pedestrians Communicate,2017,IV,dataset for studying joint attention in the context of autonomous driving;  focus on pedestrian and driver behaviors at the point of crossing and factors that influence them,outdoor,Trajectory Prediction; Multi-future Trajectory Prediction; Trajectory Forecasting; Pedestrian Trajectory Prediction,21,2,2025-02-27
KAIST ,KAIST Multi-Spectral Day/Night Data Set for Autonomous and Assisted Driving,2018,T-ITS,multi-spectral dataset; which covers a greater range of drivable regions; from urban to residential; for autonomous systems; the dataset provides different perspectives of the world captured in coarse time slots (day and night) in addition to fine time slots (sunrise; morning; afternoon; sunset; night and dawn),outdoor,Pedestrian Detection,0,0,2025-02-27
KAIST-Lane,K-Lane: Lidar Lane Dataset and Benchmark for Urban Roads and Highways,2022,CVPR,public urban road and highway lane dataset for Lidar,outdoor,Lane Detection,3,1,2025-02-27
KeypointNet,KeypointNet: A Large-scale 3D Keypoint Dataset Aggregated from Numerous Human Annotations,2020,CVPR,large-scale and diverse 3D keypoint dataset,other,Pose Estimation; Keypoint Detection; 3D Shape Representation,24,0,2025-02-27
Kitchen Scenes,Multiview RGB-D Dataset for Object Instance Detection,2016,3DV,multi-view RGB-D dataset of nine kitchen scenes; each containing several objects in realistic cluttered environments including a subset of objects from the BigBird dataset,indoor,Object Detection (in Indoor Scenes); Image Retrieval,4,0,2025-02-27
