Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
3DPW (3D Poses in the Wild),Recovering Accurate 3D Human Pose in The Wild Using IMUs and a Moving Camera,2018,ECCV,https://openaccess.thecvf.com/content_ECCV_2018/papers/Timo_von_Marcard_Recovering_Accurate_3D_ECCV_2018_paper.pdf,https//virtualhumans.mpi-inf.mpg.de/3DPW/,dataset in the wild with accurate 3D poses for evaluation,60 video sequences; 2D pose annotations; 3D poses obtained with the method introduced in the paper; Camera poses for every frame in the sequences; 3D body scans and 3D people models (re-poseable and re-shapeable); each sequence contains its corresponding models; 18 3D models in different clothing variations,outdoor,real,single hand-held (RGB) camera;  Inertial Measurement Units (IMUs),0,Pose Estimation; 3D Human Pose Estimation; Hand Pose Estimation; Human Pose Forecasting; Cross-Domain 3D Human Pose Estimation,383,5,,c
3DSSG,Learning 3D Semantic Scene Graphs from 3D Indoor Reconstructions,2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/papers/Wald_Learning_3D_Semantic_Scene_Graphs_From_3D_Indoor_Reconstructions_CVPR_2020_paper.pdf,https//3dssg.hub.io,3DSSG provides 3D semantic scene graphs for 3RScan.,"1482 scans; 48k instances; 534 classes; 40 relationships; 478 scenes; annotations include
scan-to-scene-mappings and 3D transformations together with dense instance segmentation",indoor,real,extends 3RScan with semantic scene graph annotations,534,3D Scene Graph Generation; 3D Scene Graph Alignment,32,2,,c
3RScan,RIO: 3D Object Instance Re-Localization in Changing Indoor Environments,2019,ICCV,https://arxiv.org/pdf/1908.06109v1,https://waldjohannau.github.io/RIO/,A novel dataset and benchmark featuring 1482 RGB-D scans of 478 environments across multiple time steps,1482 RGB-D scans of 478 environments across multiple time steps; approximately 363k frames,indoor,real,RGB-D images recorded with a Tango mobile application,528,3D Semantic Segmentation; Scene Understanding; Point Cloud Registration; Scene Graph Generation; 3D Object Classification; Scene Change Detection; Predicate Classification,40,5,,c
4D-OR,4D-OR: Semantic Scene Graphs for OR Domain Modeling,2022,MICCAI,https://arxiv.org/pdf/2203.11937v1,https//hub.com/egeozsoy/4D-OR,4D surgical Semantic Scene Graphs (SSG) dataset,6734 scenes; recorded by 6 calibrated RGB-D Kinect sensors 1 mounted to the ceiling of the Operating Room (OR); with one frame-per-second; providing synchronized RGB and depth images; fused point cloud sequences of entire scenes; automatically annotated human 6D poses and 3D bounding boxes for OR objects; SSG annotations for each step of the surgery together with the clinical roles of all the humans in the scenes; e.g.; nurse; head surgeon; anesthesiologist,indoor,real,6 calibrated RGB-D Kinect sensors,0,medical application; 3D Object Detection; 3D Human Pose Estimation; Scene Graph Generation,8,1,,c
4DMatch,Lepard: Learning partial point cloud matching in rigid and deformable scenes,2022,CVPR,https://openaccess.thecvf.com//content/CVPR2022/papers/Li_Lepard_Learning_Partial_Point_Cloud_Matching_in_Rigid_and_Deformable_CVPR_2022_paper.pdf,hubhttps//hub.com/rabbityl/lepard,benchmark for matching and registration of partial point clouds with time-varying geometry,based on DeformingThings4D (= 1972 animation sequences with ground truth dense correspondence) -> random selection of 1761 animations + generation of partial point cloud scans by synthesizing depth images; train/valid/test sets: 1232/176/353; Point cloud pairs in the test sequence are split into either 4DMatch or 4DLoMatch based on an overlap ratio threshold of 45%,other,synthetic,based on DeformingThings4D,0,Point Cloud Registration; 3D Feature Matching; Partial Point Cloud Matching; 3D Point Cloud Matching,10,1,,c
7-Scenes,/,2013,Microsoft,/,https://www.microsoft.com/en-us/research/project/rgb-d-dataset-7-scenes/,The 7-Scenes dataset is a collection of tracked RGB-D camera frames,7 sequences; each sequence consists of 500-1000 frames; each frame consists of three files: Color (RGB; 24-bit; PNG); Depth (in mm; 16-bit; PNG; invalid depth is set to 65535); Pose (camera-to-world; 4×4 matrix in homogeneous coordinates; TXT),indoor,real,handheld Kinect RGB-D camera,0,Dense Tracking; Mapping; Relocalization; 3D Scene Reconstruction,6,0,,c
A Large Dataset of Object Scans,A Large Dataset of Object Scans,2016,arXiv,https://arxiv.org/pdf/1602.02481v3,http//redwood-data.org/3dscan/index.html,dataset of more than ten thousand 3D scans of real objects,over 10000 dedicated 3D scans of individual objects;  44 categories that have at least 44 scans each; largest category: car (sedans; SUVs; vans); other categories: chair; table; bench; utility vehicles; motorcycles; trucks; the average length of a scan is 77 seconds; yielding over 23 million RGB-D images in total,other,real,mobile scanning setups: netbook + RGB-D camera,44,Scene Understanding; 3D Reconstruction; Object Reconstruction,5,0,,c
A*3D,A*3D Dataset: Towards Autonomous Driving in Challenging Environments,2020,ICRA,https://arxiv.org/pdf/1909.07541v1,https//hub.com/I2RDL2/ASTAR-3D,The A*3D dataset is a step forward to make autonomous driving safer for pedestrians and the public in the real world,230K human-labeled 3D object annotations in 39179 LiDAR point cloud frames and corresponding frontal-facing RGB images; Captured at different times (day; night) and weathers (sun; cloud; rain); 39K frames; 7 classes; 230K 3D object annotations,outdoor,real,raw sensor data collected using the A*STAR autonomous vehicle; Two PointGrey Chameleon3 USB3 Global shutter color (RGB) cameras; Velodyne HDL-64ES3 3D-LiDAR,7,(3D) Object Detection; Autonomous Driving,37,0,,c
Aachen Day-Night,Benchmarking 6DOF Outdoor Visual Localization in Changing Conditions,2018,CVPR,https://arxiv.org/pdf/1707.09092v3,https//www.visuallocalization.net,Dataset for benchmarking 6DOF outdoor visual localization in changing conditions,14607 images with changing conditions of weather; season and day-night cycles; 98 night-time query images  captured using a Google Nexus5X phone with software HDR enabled; handlabelled 2D-3D matches,outdoor,real,based on the Aachen localization dataset; Google Nexus5X phone (RGB+HDR),0,Pose Estimation; Camera Localization; Visual Localization,89,1,,c
ABC Dataset,ABC: A Big CAD Model Dataset For Geometric Deep Learning,2019,CVPR,https://arxiv.org/pdf/1812.06216v2,https//deep-geometry.hub.io/abc-dataset/,collection of one million Computer-Aided Design (CAD) models for research of geometric deep learning methods and applications, over one million Computer-Aided Design (CAD) models,other,synthetic,CAD models collected from Onshape,0,Object Detection; 3D Reconstruction; Single-View 3D Reconstruction; Physical Simulations; Region Proposal,96,0,,c
ABO (Amazon Berkeley Objects),ABO: Dataset and Benchmarks for Real-World 3D Object Understanding,2022,CVPR,https://arxiv.org/pdf/2110.06199v2,https//amazon-berkeley-objects.s3.amazonaws.com/index.html,large-scale dataset designed for material prediction and multi-view retrieval experiments,ABO contains product catalog images; metadata; and artist-created 3D models with complex geometries and physically-based materials that correspond to real; household objects; Blender renderings of 30 viewpoints for each of the 7953 3D objects (in glTF 2.0 format); camera intrinsics and extrinsic for each rendering;  category annotations for each 3D model; mapped to noun synsets under the WordNet taxonomy,indoor,synthetic,"originates from worldwide product listings, metadata, images and 3D models provided by Amazon.com",63,3D Reconstruction; Single-View 3D Reconstruction; Metric Learning,74,0,,c
ADE20K,Scene Parsing Through ADE20K Dataset,2017,CVPR,https://openaccess.thecvf.com/content_cvpr_2017/papers/Zhou_Scene_Parsing_Through_CVPR_2017_paper.pdf,https//groups.csail.mit.edu/vision/datasets/ADE20K/,semantic segmentation dataset that contains more than 20K scene-centric images exhaustively annotated with pixel-level objects and object parts labels,more than 20K scene-centric images exhaustively annotated with pixel-level objects and object parts labels; totally 150 semantic categories; 20210 training images - 2000 validation images - 3000 testing images ,mixed,real,RGB images,2.693,Semantic Segmentation; Instance Segmenation; Image-to-Image Translation; Scene Understanding; Panoptic Segmentation; Scene Recognition….,1164,28,,c
AI2-THOR (The House Of inteRactions),AI2-THOR: An Interactive 3D Environment for Visual AI,2017,arXiv,https://arxiv.org/pdf/1712.05474v4,https//ai2thor.allenai.org,interactive environment for embodied AI,"4 types of scenes (kitchen; living room; bedroom; bathroom); each scene includes 30 rooms; each room is unique in terms of furniture placement and item types; 3,578 interactive objects for AI agents",indoor,synthetic,hand-modeled objects,0,Robotics; Visual Navigation; Imitation Learning,222,1,,c
aiMotive,aiMotive Dataset: A Multimodal Dataset for Robust Autonomous Driving with Long-Range Perception,2022,arXiv,https://arxiv.org/pdf/2211.09445v3,https//hub.com/aimotive/aimotive_dataset,multimodal dataset for robust autonomous driving with long-range perception,176 scenes; synchronized and calibrated LiDAR + camera + radar sensors covering a 360-degree field of view; data was captured in highway; urban; and suburban areas during daytime; night; rain and is annotated with 3D bounding boxes with consistent identifiers across frames; 26 583 annotated frames; more than 425k objects organized into 14 categories,outdoor,real,rotating 64-beam LiDAR; 4 cameras; 2 long-range radars; high-precision GNSS+INS sensor,14,3D Object Detection; Object Tracking,1,1,,c
AKB-48 (Articulated object Knowledge Base),AKB-48: A Real-World Articulated Object Knowledge Base,2022,CVPR,https://arxiv.org/pdf/2202.08432v1,https//liuliu66.hub.io/articulationobjects/,large-scale Articulated object Knowledge Base,2037 real-world 3D articulated object models of 48 categories,other,real,EinScan Pro 2020 for 3D scanning; Intel RealSense D435 for RGB-D multi-view snapshot,48,Articulated Object Understanding,7,0,,c
ALFRED (Action Learning From Realistic Environments and Directives),ALFRED: A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,2020,CVPR,https://arxiv.org/pdf/1912.01734v2,https//hub.com/askforalfred/alfred,benchmark for learning a mapping from natural language instructions and egocentric vision to sequences of actions for household tasks,25743 English language directives describing 8055 expert demonstrations averaging 50 steps each; resulting in 428322 image-action pairs (directives contain both high-level goals like “Rinse off a mug and place it in the coffee maker.” and low-level language instructions like “Walk to the coffee maker on the right.”);  84 object classes across 120 different indoor scenes,indoor,synthetic,simulated environment; crowdsourced language directives,84,Visual language understanding,158,0,,c
AnoVox,AnoVox: A Benchmark for Multimodal Anomaly Detection in Autonomous Driving,2024,arXiv,https://arxiv.org/pdf/2405.07865v3,https//zenodo.org/communities/anovox/records?q=&l=list&p=1&s=10&sort=newest,large-scale benchmark for ANOmaly detection in autonomous driving, 1117 scenarios based on the mono sensor configuration; 76 for the stereo configuration; and 35 for the multi configuration; 24 different types of scenarios; 8 different regions and 14 weather and time of day presets; 178 different content anomalies in 5 different size classes: (tiny; small; medium; big;  huge); 6 super-classes (anomal; home; special; nature; falling; airplane); uses CARLA simularot,outdoor,synthetic,RGB camera; lidar; depth sensors,178,Anomaly Detection; Autonomous Driving,3,0,,c
A-OKVQA,A-OKVQA: A Benchmark for Visual Question Answering using World Knowledge,2022,ECCV,https://arxiv.org/pdf/2206.01718v1,https//hub.com/allenai/aokvqa,crowdsourced visual question answering dataset composed of a diverse set of about 25K questions requiring a broad base of commonsense and world knowledge to answer,24903 Question-Answer-Rationale triplets; split into 17.1K/1.1K/6.7K for train/validation/test,mixed,real,RGB images from the 2017 partitioning of the COCO dataset,0,Visual Question Answering (VQA),142,1,,c
ApolloScape,The ApolloScape Open Dataset for Autonomous Driving and its Application,2018,TPAMI,https://arxiv.org/pdf/1803.06184v4,https//apolloscape.auto,large dataset consisting of over 140000 video frames from various locations in China under varying weather conditions," 143,906 video frames + corresponding pixel-level semantic labelling; 73 street scene videos from 4 locations in China under varying weather conditions",outdoor,real,acquisition system: Riegl VMX-1HA -> 2 VUX-1HA laser scanners; 1 VMX-CS6 camera system (RGB); IMU/GNSS,27,Autonomous Driving; Object Detection; Semantic Segmentation; Trajectory Prediction; Image Inpainting; Autonomous Driving; Motion Segmentation,71,5,,c
ARCH2S,ARCH2S: Dataset; Benchmark and Challenges for Learning Exterior Architectural Structures from Point Clouds,2024,arXiv,https://arxiv.org/pdf/2406.01337v1,,photo-realistic 3D architectural models dataset and benchmark for semantic segmentation,4 different building purposes of real-world buildings as well as an open architectural landscape in Hong Kong; Each point cloud is annotated into one of 14 semantic classes; detailed annotations of real-world reconstructed exterior building objects into 13 commonly seen built elements grouped into three main categories (miscellaneous; structural; and decorative),outdoor,synthetic,3D models are derived from the 3DBIT00 dataset,14,3D Semantic Segmentation,3,1,,c
Argoverse ,Argoverse: 3D Tracking and Forecasting with Rich Maps,2019,CVPR,https://arxiv.org/pdf/1911.02620v1,https//www.argoverse.org/data.html,tracking benchmark with over 30K scenarios collected in Pittsburgh and Miami,training-validation-test sets: 205942 - 39472 - 78143 sequences (no geographical overlap),outdoor,real,"2 roof-mounted,
rotating 32 beam LiDAR sensor; 2 front-facing stereo cameras  (RGB); 6-DOF localization for each timestamp comes from a combination of GPSbased and sensor-based localization",15,3D Object Detection; Trajectory Prediction; Motion Forecasting; Monocular Cross-View Road Scene Parsing (Road / Vehicle); 3D Object Tracking,370,6,,c
Argoverse 2,Argoverse 2: Next Generation Datasets for Self-Driving Perception and Forecasting,2021,NeurIPS,https://arxiv.org/pdf/2301.00493v1,https//www.argoverse.org/av2.html,collection of open-source autonomous driving data and high-definition (HD) maps from six U.S. cities: Austin; Detroit; Miami; Pittsburgh; Palo Alto; and Washington; D.C,4 open-source datasets: A) Sensor Dataset: 1000 3D annotated scenarios with lidar; stereo imagery; and ring camera imagery; B) Motion Forecasting Dataset: 250000 scenarios with trajectory data for many object types; C) Lidar Dataset: 20000 unannotated lidar sequences; D) Map Change Dataset: 1000 scenarios; 200 of which depict real-world HD map changes,outdoor,real,LiDAR; Stereo Images (RGB),30,3D Object Detection; (Self-Supervised) Scene Flow Estimation; Dynamic Point Removal,170,3,,c
ARID (Autonomous Robot Indoor Dataset),Recognizing Objects In-the-wild: Where Do We Stand?,2017,ICRA,https://arxiv.org/pdf/1709.05862v2,https//www.acin.tuwien.ac.at/en/vision-for-robotics/software-tools/autonomous-robot-indoor-dataset/,large-scale; multi-view object dataset collected with an RGB-D camera mounted on a mobile robot,RGB and depth images of daily life objects belonging to 51 categories; Each object category contains three instances; for a total of 153 physical objects; and it coincides with one of the 51 WordNet leaf nodes used to determine the categories of a very well-known dataset; the RGB-D Object Dataset (= complete overlap between the categories represented in the two datasets; ARID and ROD),indoor,real,RGB-D camera,51,Object Recognition; Question Generation,5,0,,c
ArraMon,ArraMon: A Joint Navigation-Assembly Instruction Interpretation Task in Dynamic Environments,2020,EMNLP,https://arxiv.org/pdf/2011.07660v1,https//arramonunc.hub.io,A dataset (in English and also extended to Hindi) with human-written navigation and assembling instructions; and the corresponding ground truth trajectories,7.7K task instances (30.8K instructions and paths); challenging dataset (in English and now also Hindi) via a 3D synthetic simulator with diverse object referring expressions; environments and visuospatial relationships,outdoor,synthetic,simulated environment,0,Vision and Language Navigation,3,0,,c
BAAI-VANJEE,BAAI-VANJEE Roadside Dataset: Towards the Connected Automated Vehicle Highway technologies in Challenging Environments of China,2021,arXiv,https://arxiv.org/pdf/2105.14370v1,https//data.baai.ac.cn/data-set,roadside dataset for benchmarking and training various computer vision tasks such as 2D/3D object detection and multi-sensor fusion,LiDAR data and RGB images collected by VANJEE smart base station placed on the roadside about 4.5m high; 2500 frames of LiDAR data; 5000 frames of RGB images; including 20% collected at the same time; 12 classes of objects; 74K 3D object annotations and 105K 2D object annotations,outdoor,real,LiDAR data; RGB images,12,Object Detection; Radar Object Detection,6,0,,c
BenchLMM,BenchLMM: Benchmarking Cross-style Visual Capability of Large Multimodal Models,2023,arXiv,https://arxiv.org/abs/2312.02896,https//aifeg.hub.io/BenchLMM/,benchmark to assess the robustness of LMMs (Large Multimodal Models; e.g. GPT-4V) against three different styles: artistic image style; imaging sensor style; and application style; where each style has five sub-styles,a) Artistic style data: 500 images from the COCO-O dataset -> 100 images for each stylistic category (Cartoon; Painting; Sketch; Handmade; and Tattoo styles); b) Sensor-style data: 200 Infrared images; 200 X-ray images; 200 MRI images; 200 CT images; c) Application-style data: 200 images from the DOTA dataset (remote sensing); 250 images from the BDD100K dataset (autonomous driving); 100 images from the Domestic Robot dataset + 117 from the Open Game dataset (agent action prediction); 100 images from the Defect Detection dataset (defect detection) ,other,real,RGB cameras; COCO-O images; Infrared sensors; X-ray sensors; MRI sensors; CT sensors,0,Visual Question Answering (VQA),12,1,,c
BLVD,BLVD: Building A Large-scale 5D Semantics Benchmark for Autonomous Driving,2019,ICRA,https://arxiv.org/pdf/1903.06405v1,https//hub.com/VCCIV/BLVD/,large scale 5D semantics dataset collected by the Visual Cognitive Computing and Intelligent Vehicles Lab,654 high-resolution video clips owing 120k frames extracted from Changshu; Jiangsu Province; China; frame rate is 10fps/sec for RGB data and 3D point cloud; dataset contains fully annotated frames which yield 249129 3D annotations; 4902 independent individuals for tracking with the length of overall 214;922 points; 6;004 valid fragments for 5D interactive event recognition; and 4900 individuals for 5D intention prediction; 4 kinds of scenarios depending on the object density (low and high) and light conditions (daytime and nighttime); 3 classes (pedestrians;vehicles; riders),outdoor,real,Velodyne HDL-64E LIDAR scanner; GPS/inertial system; 2 multi-view color cameras (RGB),3,Trajectory Prediction; Autonomous Driving; Decision Making,9,0,,c
BnB,Airbert: In-domain Pretraining for Vision-and-Language Navigation,2021,ICCV,https://arxiv.org/pdf/2108.09105v1,https//hub.com/airbert-vln/bnb-dataset,large-scale and diverse in-domain VLN (Vision and Language Navigation) dataset -> based on Airbnb photos + descriptions,5.6M listings from over 100K cities all around the world,indoor,real,downloaded listings + metadata; RGB images,0,Vision-Language Navigation,3,0,,c
sh,Breaking Bad: A Dataset for Geometric Fracture and Reassembly,2022,NeurIPS,https://arxiv.org/pdf/2210.11463v1,https//breaking-bad-dataset.hub.io,large-scale dataset of fractured objects,around 10k meshes from PartNet and Thingi10k; For each mesh: 20 fracture modes are pre-computed and then simulate 80 fractures from them; resulting in a total of 1M breakdown patterns,other,synthetic,meshes from PartNet and Thingi10K,0,3D Assembly,11,0,,c
Building3D,Building3D: An Urban-Scale Dataset and Benchmarks for Learning Roof Structures from Point Clouds,2023,ICCV,https://arxiv.org/pdf/2307.11914v1,https//building3d.ucalgary.ca,urban-scale dataset consisting of more than 160 thousands buildings along with corresponding point clouds; mesh and wireframe models,more than 160 thousands buildings; covering 16 cities in Estonia about 998 Km2; raw LiDAR point clouds are collected by a high-precision RIEGL VQ-1560i scanner at altitude 2600 meters and stored in LAZ-format (including XYZ coordinates; RGB color; near infrared information; intensity; reflectance),outdoor,real,"RIEGL VQ-1560i LiDAR scanner (XYZ coordinates + RGB color, NIR, intensity, reflectance)",0,urban modeling; aerial path planning; mesh simplification; semantic/part seg+B30+E41,6,0,,c
BuildingNet,BuildingNet: Learning to Label 3D Buildings,2021,ICCV,https://arxiv.org/pdf/2110.04955v1,https//buildingnet.org,large-scale dataset of 3D building models whose exteriors are consistently labeled,513K annotated mesh primitives; grouped into 292K semantic part components across 2K building models; dataset covers several building categories; such as houses; churches; skyscrapers; town halls; libraries; and castle,outdoor,synthetic,"models from
models were mined from the 3D Warehouse repository; crowdsourced annotations",31,3D Semantic Segmentation; 3D Builiding Mesh Labeling,11,1,,c
BundleFusion (SUN-RGB-D data),BundleFusion: Real-time Globally Consistent 3D Reconstruction using Online Surface Re-integration,2016,TOG,https://arxiv.org/pdf/1604.01093v3,https//graphics.stanford.edu/projects/bundlefusion/,They provide a dataset containing RGB-D data of 7 large scenes (60m average trajectory length; 5833 average number of frames). The RGB-D data was captured using a Structure.io depth sensor coupled with an iPad color camera. ,7 scenes; average number of frames: 5833; each sequence contains: Color frames (RGB; 24-bit; JPG); Depth frames (mm; 16-bit; PNG; invalid depth is set to 0); Camera poses (camera-to-world; invalid transforms -INF; TXT); Camera calibration (color and depth camera intrinsics and extrinsics; TXT),indoor,real,Structure.io depth sensor; iPad RGB camera,0,Mixed Reality; Robotic application; Relocalization,-1,-1,,c
CADC (Canadian Adverse Driving Conditions),Canadian Adverse Driving Conditions Dataset,2020,IJRR,https://arxiv.org/pdf/2001.10117v3,http//cadcd.uwaterloo.ca,autonomous vehicle dataset that focuses on adverse driving conditions,7000 frames collected through a variety of winter weather conditions of annotated data from 8 cameras; collected with the Autonomoose autonomous vehicle platform; based on a modified Lincoln MKZ; collected during winter within in region of Waterloo; Canada,outdoor,real,1x Velodyne VLP-32C Lidar; 8x Ximea MQ013CG-E2 Camera (RGB); 8x Edmund Optics C Series Fixed Focal Length Lens; 1x Dataspeed Advanced Driver Assistance Systems (ADAS) Kit; 1x Novatel OEM638 Triple-Frequency GNSS Receiver; 1x Sensonor STIM300 MEMS IMU; 2x Xsens 1x MTi-300-AHRS 1x MTi-30-AHRS IMUs,10,(3D) Object Detection,23,0,,c
CamVid (Cambridge-driving Labeled Video Database),Semantic object classes in video: A high-definition ground truth database,2009,Pattern Recognit. Lett.,https://www.sciencedirect.com/science/article/pii/S0167865508001220?via%3Dihub,https//mi.eng.cam.ac.uk/research/projects/VideoRec/CamVid/,road/driving scene understanding database which was originally captured as five video sequences with a 960×720 resolution camera mounted on the dashboard of a car,5 video sequences with a 960×720 resolution; sequences were sampled (4 of them at 1 fps and 1 at 15 fps) adding up to 701 frames: manually annotated with 32 classes (void; building; wall; tree; vegetation; fence; sidewalk; parking block; column/pole; traffic cone; bridge; sign; miscellaneous text; traffic light; sky; tunnel; archway; road; road shoulder; lane markings (driving); lane markings (non-driving); animal; pedestrian; child; cart luggage; bicyclist; motorcycle; car; SUV/pickup/truck; truck/bus; train; and other moving object),outdoor,real,3CCD Panasonic HVX200 digital camera (RGB),32,(2D / Real-Time / Video) Semantic Segmentation,224,4,,c
